r,r1,r2,r3,n1,n2,n3
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12837837837837837,0.028528528528528527,0.042792792792792786,0.05705705705705706,0.0,0.0,0.0
0.25675675675675674,0.057057057057057055,0.08558558558558557,0.11411411411411412,0.0,0.0,0.0
0.3851351351351351,0.08558558558558557,0.12837837837837837,0.17117117117117112,0.0,0.0,0.0
0.5135135135135135,0.11411411411411411,0.17117117117117114,0.22822822822822825,0.0,0.0,0.0
0.6418918918918919,0.14264264264264265,0.21396396396396394,0.2852852852852853,0.0,0.0,0.0
0.7702702702702702,0.17117117117117114,0.25675675675675674,0.34234234234234223,0.0,0.0,0.0
0.8986486486486486,0.19969969969969967,0.29954954954954954,0.39939939939939934,0.0,0.0,0.0
1.027027027027027,0.22822822822822822,0.3423423423423423,0.4564564564564565,0.0,0.0,0.0
1.1554054054054053,0.25675675675675674,0.3851351351351351,0.5135135135135134,0.0,0.0,0.0
1.2837837837837838,0.2852852852852853,0.4279279279279279,0.5705705705705706,0.0,0.0,0.0
1.412162162162162,0.3138138138138138,0.4707207207207207,0.6276276276276276,0.0,0.0,0.0
1.5405405405405403,0.3423423423423423,0.5135135135135135,0.6846846846846845,0.0,0.0,0.0
1.6689189189189189,0.37087087087087084,0.5563063063063063,0.7417417417417418,0.0,0.0,0.0
1.7972972972972971,0.39939939939939934,0.5990990990990991,0.7987987987987987,0.0,0.0,0.0
1.9256756756756757,0.4279279279279279,0.6418918918918919,0.8558558558558558,0.0,0.0,0.0
2.054054054054054,0.45645645645645644,0.6846846846846846,0.912912912912913,0.0,0.0,0.0
2.1824324324324325,0.48498498498498493,0.7274774774774775,0.96996996996997,0.0,0.0,0.0
2.3108108108108105,0.5135135135135135,0.7702702702702702,1.0270270270270268,0.0,0.0,0.0
2.439189189189189,0.5420420420420421,0.813063063063063,1.084084084084084,0.0,0.0,0.0
2.5675675675675675,0.5705705705705706,0.8558558558558558,1.1411411411411412,0.0,0.0,0.0
2.6959459459459456,0.5990990990990991,0.8986486486486486,1.198198198198198,0.0,0.0,0.0
2.824324324324324,0.6276276276276276,0.9414414414414414,1.2552552552552552,0.0,0.0,0.0
2.9527027027027026,0.6561561561561562,0.9842342342342342,1.3123123123123124,0.0,0.0,0.0
3.0810810810810807,0.6846846846846846,1.027027027027027,1.369369369369369,0.0,0.0,0.0
3.209459459459459,0.7132132132132132,1.0698198198198199,1.426426426426426,0.0,0.0,0.0
3.3378378378378377,0.7417417417417417,1.1126126126126126,1.4834834834834836,0.0,0.0,0.0
3.4662162162162162,0.7702702702702703,1.1554054054054055,1.5405405405405406,0.0,0.0,0.0
3.5945945945945943,0.7987987987987987,1.1981981981981982,1.5975975975975973,0.0,0.0,0.0
