lambda_N2,sigma_N2,lambda_N4,sigma_N4,lambda_N8,sigma_N8
1.0,0.321095,1.0,0.04804666666666665,1.0,0.09015999999999999
1.0013013013013012,0.624492795549025,1.0013013013013012,0.45638403403900035,1.0013013013013012,0.3091071349058607
1.0026026026026027,0.5961795797667726,1.0026026026026027,0.4321020479904132,1.0026026026026027,0.2686984550341258
1.003903903903904,0.5809795828460746,1.003903903903904,0.40689573696523224,1.003903903903904,0.17652118905440214
1.0052052052052052,0.5843405962252861,1.0052052052052052,0.3796485904340959,1.0052052052052052,0.15552750835176402
1.0065065065065064,0.5801150587426258,1.0065065065065064,0.34795266729029173,1.0065065065065064,0.2289603333457806
1.0078078078078079,0.5871381057183673,1.0078078078078079,0.31954607591897444,1.0078078078078079,0.24248307335533034
1.0091091091091091,0.5791945023708371,1.0091091091091091,0.33038234166510183,1.0091091091091091,0.2317178923778637
1.0104104104104104,0.5753055369828564,1.0104104104104104,0.34691003034860385,1.0104104104104104,0.2642380412471222
1.0117117117117118,0.5669696540819362,1.0117117117117118,0.36966591098532114,1.0117117117117118,0.29357138383591047
1.013013013013013,0.5773943096079105,1.013013013013013,0.3904737251870105,1.013013013013013,0.2694850190482073
1.0143143143143143,0.5870602838020664,1.0143143143143143,0.4132582927200022,1.0143143143143143,0.25138793028880485
1.0156156156156155,0.576413879980657,1.0156156156156155,0.4275574591433234,1.0156156156156155,0.2576329416644002
1.016916916916917,0.5496312263239779,1.016916916916917,0.4122545868036657,1.016916916916917,0.2704299288037948
1.0182182182182182,0.5083928920658465,1.0182182182182182,0.3957087280023995,1.0182182182182182,0.31172897090632334
1.0195195195195195,0.4854447964890265,1.0195195195195195,0.3694703194990623,1.0195195195195195,0.3448627642626562
1.0208208208208207,0.48567611031404945,1.0208208208208207,0.33603030828563246,1.0208208208208207,0.29910320994896067
1.0221221221221222,0.49949459865360923,1.0221221221221222,0.32472860247503177,1.0221221221221222,0.2566357639358794
1.0234234234234234,0.5432802627119359,1.0234234234234234,0.327800515743091,1.0234234234234234,0.2480125722352477
1.0247247247247246,0.5822199699805154,1.0247247247247246,0.3416595087807523,1.0247247247247246,0.3298854330602318
1.026026026026026,0.620377406782719,1.026026026026026,0.3515850504278959,1.026026026026026,0.35143434551756825
1.0273273273273273,0.6596792780179883,1.0273273273273273,0.3576769299722251,1.0273273273273273,0.3740409810404169
1.0286286286286286,0.6857129578381884,1.0286286286286286,0.36187703794524356,1.0286286286286286,0.3941272651022675
1.0299299299299298,0.7015276728840303,1.0299299299299298,0.3709584162085777,1.0299299299299298,0.4013141664465801
1.0312312312312313,0.7183157388319393,1.0312312312312313,0.38507538922667384,1.0312312312312313,0.3755519363380757
1.0325325325325325,0.7321772731078238,1.0325325325325325,0.4137039277629782,1.0325325325325325,0.3663088923577618
1.0338338338338338,0.7206497322434163,1.0338338338338338,0.45769891295084814,1.0338338338338338,0.40625516970354447
1.0351351351351352,0.6907157663482972,1.0351351351351352,0.5022943573255626,1.0351351351351352,0.4635333465893344
1.0364364364364365,0.6678636972936391,1.0364364364364365,0.5364251249302322,1.0364364364364365,0.4523609526444655
1.0377377377377377,0.6705921102145805,1.0377377377377377,0.5584159122865605,1.0377377377377377,0.4354332570859235
1.039039039039039,0.6828185259360333,1.039039039039039,0.5610344703736481,1.039039039039039,0.42640714797259943
1.0403403403403404,0.709659449655391,1.0403403403403404,0.5691243215800187,1.0403403403403404,0.4407997363878483
1.0416416416416416,0.7294425110709922,1.0416416416416416,0.5847828889084882,1.0416416416416416,0.47891139393979154
