,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02
2.020202020202020e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01
3.030303030303030e-01,1.806435307417611e-01,1.806435307417611e-01,1.806435328856729e-01,1.806435307417611e-01,1.806435307417611e-01,1.806435307417611e-01,1.806435307417611e-01,1.806435307417611e-01
4.040404040404040e-01,2.311365745735987e-01,2.311365752882359e-01,2.311365772733395e-01,2.311365752882359e-01,2.311365745735987e-01,2.311365745735987e-01,2.311365752882359e-01,2.311365752882359e-01
5.050505050505051e-01,2.769101067884502e-01,2.769101163169473e-01,2.769101194931130e-01,2.769101163169473e-01,2.769101067884502e-01,2.769101067884502e-01,2.769101163169473e-01,2.769101163169473e-01
6.060606060606061e-01,3.182210047895522e-01,3.182210039955107e-01,3.182210079657178e-01,3.182210039955107e-01,3.182210047895522e-01,3.182210047895522e-01,3.182210039955107e-01,3.182210039955107e-01
7.070707070707071e-01,3.553997314664217e-01,3.553997314664217e-01,3.553997405978981e-01,3.553997314664217e-01,3.553997314664217e-01,3.553997314664217e-01,3.553997314664217e-01,3.553997314664217e-01
8.080808080808081e-01,3.888169318572390e-01,3.888169270929905e-01,3.888169243138455e-01,3.888169270929905e-01,3.888169318572390e-01,3.888169318572390e-01,3.888169270929905e-01,3.888169270929905e-01
9.090909090909091e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01
1.010101010101010e+00,4.458847311090705e-01,4.458847311090705e-01,4.458847311090705e-01,4.458847311090705e-01,4.458847311090705e-01,4.458847311090705e-01,4.458847311090705e-01,4.458847311090705e-01
1.111111111111111e+00,4.702556053431282e-01,4.702556053431282e-01,4.702555993878175e-01,4.702556053431282e-01,4.702556053431282e-01,4.702556053431282e-01,4.702556053431282e-01,4.702556053431282e-01
1.123737373737374e+00,4.731311310764207e-01,4.731311410019385e-01,4.731311370317314e-01,4.731311410019385e-01,4.731311290913172e-01,4.731311310764207e-01,4.731311410019385e-01,4.731311410019385e-01
1.130050505050505e+00,4.745553833282319e-01,4.745553833282319e-01,4.745553833282319e-01,4.745553833282319e-01,4.745553833282319e-01,4.745553833282319e-01,4.745553833282319e-01,4.745553833282319e-01
1.131628787878788e+00,4.749100518559330e-01,4.749100518559330e-01,4.749100466946637e-01,4.749100518559330e-01,4.749100518559330e-01,4.749100518559330e-01,4.749100518559330e-01,4.749100518559330e-01
1.132417929292930e+00,4.750871727211509e-01,4.750871727211509e-01,4.750871686715396e-01,4.750871727211509e-01,4.750871727211509e-01,4.750871727211509e-01,4.750871727211509e-01,4.750871727211509e-01
1.132615214646465e+00,4.751314274288747e-01,4.751314263172167e-01,4.751314306050404e-01,4.751314263172167e-01,4.751314226646261e-01,4.751314274288747e-01,4.751314263172167e-01,4.751314263172167e-01
1.132713857323233e+00,4.751535545842261e-01,4.751535617305990e-01,4.751535585544333e-01,4.751535617305990e-01,4.751535545842261e-01,4.751535545842261e-01,4.751535617305990e-01,4.751535617305990e-01
1.132812500000000e+00,4.751756751490339e-01,4.751756785634120e-01,4.751756786257556e-01,4.751756785634120e-01,4.751756785634120e-01,4.751756751490339e-01,4.751756785634120e-01,4.751756785634120e-01
1.133207070707071e+00,4.752641546291195e-01,4.752641546291195e-01,4.752641554127130e-01,4.752641546291195e-01,4.752641546291195e-01,4.752641546291195e-01,4.752641546291195e-01,4.752641546291195e-01
1.136363636363636e+00,4.759707073782676e-01,4.759707072194593e-01,4.759707033976124e-01,4.759707072194593e-01,4.759707125395368e-01,4.759707073782676e-01,4.759707072194593e-01,4.759707072194593e-01
